,DT,C4.5,k-NN,LogR,NB,SVM,LC
DS19,0.4632,0.4678,0.4841,0.485,0.4808,0.5039,0.4858
DS20,0.4937,0.4918,0.4662,0.5528,0.5581,0.5059,0.5517
DS21,0.4833,0.491,0.4844,0.4634,0.4687,0.5052,0.4615
DS22,0.4568,0.5079,0.452,0.4627,0.4598,0.4706,0.4664
DS23,0.4999,0.4718,0.5178,0.4969,0.5431,0.5516,0.4943
DS24,0.5062,0.512,0.4816,0.5734,0.5692,0.5303,0.5715
DS25,0.5129,0.5187,0.4767,0.5058,0.4935,0.4357,0.5026
DS26,0.5797,0.522,0.4909,0.4674,0.4795,0.4528,0.4654
DS27,0.7922,0.8177,0.5194,0.4875,0.4945,0.4484,0.486
DS28,0.99,0.99,0.6793,0.4747,0.9939,0.6008,0.4728
DS29,0.5,0.5,0.5,0.5,0.5,0.5,0.5
